Protein.Group	C:\DIA-NN\AOESB2025\THF-2-01.mzML	C:\DIA-NN\AOESB2025\THF-2-02.mzML	C:\DIA-NN\AOESB2025\THF-2-03.mzML	C:\DIA-NN\AOESB2025\THF-2-04.mzML	C:\DIA-NN\AOESB2025\THF-2-05.mzML	C:\DIA-NN\AOESB2025\THF-2-06.mzML	C:\DIA-NN\AOESB2025\THF-2-07.mzML	C:\DIA-NN\AOESB2025\THF-2-08.mzML	C:\DIA-NN\AOESB2025\THF-2-09.mzML	C:\DIA-NN\AOESB2025\THF-2-10.mzML	C:\DIA-NN\AOESB2025\THF-2-11.mzML	C:\DIA-NN\AOESB2025\THF-2-12.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-01.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-02.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-03.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-04.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-05.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-06.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-07.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-08.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-09.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-10.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-11.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-12.mzML
O07451	88117851.9726864	83775909.9498169	85495347.7910827	NA	3305377.03017179	NA	NA	2411733.13408615	NA	NA	NA	NA	29	34	33	0	4	0	0	4	0	0	0	0
O30338	2932314.03876524	3109371.27401506	3269719.53488775	3246691.06213257	2865868.69125374	2605573.89625456	2899065.1424341	2941934.77921691	2931495.64125778	4518193.94624644	4214645.99546335	4783233.79753854	3	3	3	3	3	3	3	3	3	3	3	3
O34162	2904520	NA	NA	NA	NA	NA	NA	NA	NA	2908280	NA	NA	1	0	0	0	0	0	0	0	0	1	0	0
O87816	155417914.341125	144728555.209512	156411768.071315	231782972.720331	252385483.930467	235183115.660126	189748900.716759	194259929.028055	199065902.728116	NA	NA	NA	12	9	12	13	15	14	12	14	12	0	0	0
P14611	6596206850.95919	5718505701.07198	5286449435.85191	7730207631.60003	6363528587.04609	7163563029.98732	8550902674.11178	7545575484.0943	8137097749.66178	3070406450.15769	2889988890.67516	2765631464.14001	68	66	69	64	67	65	68	69	69	60	59	60
P14697	265124389.234323	285579536.363528	325258105.505342	331749951.109085	357727129.881206	319802567.566259	469493045.744252	534292523.160794	537648645.534472	99812014.6480313	100502557.814392	108070232.012921	40	41	41	37	43	40	43	43	43	32	33	33
P19911	391581109.461092	423632831.440948	447428038.107345	NA	NA	5626999.99998669	4055041.09424075	4384915.84015778	5302679.99998744	NA	NA	NA	21	20	21	0	0	1	2	2	1	0	0	0
P19912	199746993.340119	231628423.41187	258042311.053415	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	6	0	0	0	0	0	0	0	0	0
P19923	1863542515.75458	1789161356.30014	2070853425.92011	18892387.1722389	15197587.5768513	15866440.1255041	9889387.96284041	12605305.2462914	13180580.051958	NA	NA	NA	28	27	29	5	5	4	2	5	3	0	0	0
P19924	57442612.6948068	75726014.4897192	82845073.8501278	NA	1605519.99999457	NA	606072.999997951	969613.999996723	686511.999997678	NA	NA	NA	4	5	5	0	1	0	1	1	1	0	0	0
