Entry	CBB_01	CBB_02	CBB_03	rGlyP_07	rGlyP_08	rGlyP_09	CBB_UP_01	CBB_UP_02	CBB_UP_03	rGlyP_UP_07	rGlyP_UP_08	rGlyP_UP_09	CBB_01_imputado	CBB_02_imputado	CBB_03_imputado	rGlyP_07_imputado	rGlyP_08_imputado	rGlyP_09_imputado	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	KEGG	log2FC	p_value	neg_log10_p	p_adj_fdr
P27745	22.17120490169939	21.904474861536254	22.339335832743	23.438842702821187	23.46368056799159	23.310158345633067	1	2	2	5	5	5	No	No	No	No	No	No	ACOA_CUPNH	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha (Acetoin:DCPIP oxidoreductase-alpha) (Ao:DCPIP OR) (EC 1.1.1.-)	acoA H16_B0144	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	333	acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	GO:0004739; GO:0006086; GO:0045150	reh:H16_B0144	1.2658886734890658	0.0007257069412934704	2.4076988422731658	0.0039111201500008465
P39185	20.629266272463553	20.086384553763672	19.638156449833257	21.01462288748022	21.562175300278167	21.397391042265436	0	0	2	3	4	2	Si	Si	No	No	No	No	NAPA_CUPNH	Periplasmic nitrate reductase (EC 1.9.6.1)	napA PHG211	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	831	cellular respiration [GO:0045333]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; nitrate assimilation [GO:0042128]	membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; periplasmic space [GO:0042597]	membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (cytochrome) activity [GO:0050140]; cellular respiration [GO:0045333]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; nitrate assimilation [GO:0042128]	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; iron ion binding [GO:0005506]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (cytochrome) activity [GO:0050140]	GO:0005506; GO:0006777; GO:0009055; GO:0009325; GO:0016020; GO:0030151; GO:0042128; GO:0042597; GO:0043546; GO:0045333; GO:0050140; GO:0051539	reh:PHG211	1.2067939846544498	0.021482042927849266	1.3332230678721357	0.04642767462246165
P55818	19.347059470839984	20.18626623355973	20.290461174635254	34.858438926988626	34.85247278954498	34.8997167475096	0	0	0	51	50	52	Si	Si	Si	No	No	No	MTDA_METEA	Bifunctional protein MdtA [Includes: NADP-dependent methylenetetrahydromethanopterin dehydrogenase (EC 1.5.1.-); Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5)]	mtdA MexAM1_META1p1728	Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1) (Methylobacterium extorquens)	288	formaldehyde catabolic process [GO:0046294]; one-carbon metabolic process [GO:0006730]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; formaldehyde catabolic process [GO:0046294]; one-carbon metabolic process [GO:0006730]	methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]	GO:0004488; GO:0005737; GO:0006730; GO:0046294	mea:Mex_1p1728	14.928947195002745	9.627126515602078e-07	4.153329217173912	7.025395574760617e-05
Q0JYB5	21.464873172113837	21.540629893146644	21.63367704152033	23.247240697098885	23.301516112090017	23.138859304544628	3	4	4	9	9	9	No	No	No	No	No	No	Q0JYB5_CUPNH	Probable extra-cytoplasmic solute receptor (Tripartite tricarboxylate transporter substrate binding protein)	H16_B2477 E6A55_31675	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	325						reh:H16_B2477	1.6828120023175686	1.6132052229796857e-05	3.4601056229664504	0.0003466525322695944
Q0JYD2	24.262682116028888	24.08405196465744	24.032665630141103	25.238605240735495	25.120591884164252	25.173473368472195	11	12	12	14	16	15	No	No	No	No	No	No	Q0JYD2_CUPNH	Probable allantoicase (EC 3.5.3.4) (Allantoate amidinohydrolase)	alc H16_B2460	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	350	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]		allantoicase activity [GO:0004037]; allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]	allantoicase activity [GO:0004037]	GO:0000256; GO:0004037; GO:0006144	reh:H16_B2460	1.0510902608481665	0.00017205336447830805	2.829302433610185	0.0014814860498884401
Q0JYE8	19.400031984563487	20.066014171275786	19.321228851544472	21.975435153647776	21.993640126301912	22.032756519285353	0	2	0	2	2	2	Si	No	Si	No	No	No	Q0JYE8_CUPNH	Aldehyde dehydrogenase family protein (NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3))	H16_B2444 E6A55_31510	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	474	gamma-aminobutyric acid catabolic process [GO:0009450]		aldehyde dehydrogenase (NAD+) activity [GO:0004029]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; gamma-aminobutyric acid catabolic process [GO:0009450]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]	GO:0004029; GO:0004777; GO:0009450	reh:H16_B2444	2.404852263950435	0.000529634406156404	2.502809765177145	0.003141884638095295
Q0JYF3	23.58518334939134	23.670965426854668	23.759090448225685	25.510083687492813	25.580106017315934	25.63476199280742	3	3	3	8	9	9	No	No	No	No	No	No	Q0JYF3_CUPNH	Probable extra-cytoplasmic solute receptor (Tripartite tricarboxylate transporter substrate binding protein)	H16_B2439 E6A55_31485	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	325						reh:H16_B2439	1.9032374910481629	6.63444113124614e-06	3.639314376283835	0.0002294487117734215
Q0JYG0	22.092721450064214	21.845941604865068	21.857055822165535	23.550375163968617	22.85010859823885	22.87308087080608	3	5	3	5	5	5	No	No	No	No	No	No	Q0JYG0_CUPNH	Type VI secretion system tube protein Hcp	H16_B2432 E6A55_31450	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	174						reh:H16_B2432	1.1592819186395786	0.008883647034773807	1.6264522634833907	0.02363457169924217
Q0JYU2	22.885824607157417	22.956815057893856	22.789830041434996	23.99053146479701	23.98924237002148	23.989387700666207	3	5	4	6	6	6	No	No	No	No	No	No	Q0JYU2_CUPNH	Penicillin-binding protein activator LpoB	H16_B2300 E6A55_30790	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	204						reh:H16_B2300	1.1122306096661418	2.122212754464169e-05	3.3896879329950567	0.00040767311051258064
Q0JYV1	22.280382107448183	21.882087005503717	21.92527999631423	23.705375332942697	23.503548283754984	23.61279189963016	2	2	1	3	3	3	No	No	No	No	No	No	Q0JYV1_CUPNH	Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3) (Protocatechuate 3,4-dioxygenase subunit beta)	pcaH1 pcaH H16_B2291 E6A55_30745	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	233	3,4-dihydroxybenzoate catabolic process [GO:0019619]		ferric iron binding [GO:0008199]; protocatechuate 3,4-dioxygenase activity [GO:0018578]; 3,4-dihydroxybenzoate catabolic process [GO:0019619]	ferric iron binding [GO:0008199]; protocatechuate 3,4-dioxygenase activity [GO:0018578]	GO:0008199; GO:0018578; GO:0019619	reh:H16_B2291	1.5779888023539037	0.00034341004979151037	2.6273418345544273	0.00235862102433275
