Entry	CBB_01	CBB_02	CBB_03	rGlyP_07	rGlyP_08	rGlyP_09	CBB_UP_01	CBB_UP_02	CBB_UP_03	rGlyP_UP_07	rGlyP_UP_08	rGlyP_UP_09	CBB_01_imputado	CBB_02_imputado	CBB_03_imputado	rGlyP_07_imputado	rGlyP_08_imputado	rGlyP_09_imputado	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	KEGG
O07451	26.39293099145501	26.320032115864603	26.349342582440023	20.83504259587196	21.201638846615744	19.94654094545664	29	34	33	0	4	0	No	No	No	Si	No	Si	HYPF2_CUPNH	Carbamoyltransferase HypF2 (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme hypF2) ([NiFe]-hydrogenase maturation factor hypF2) (Hydrogenase maturation protein hypF2)	hypF2 PHG096	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	807	protein maturation [GO:0051604]		carboxyl- or carbamoyltransferase activity [GO:0016743]; double-stranded RNA binding [GO:0003725]; ligase activity [GO:0016874]; zinc ion binding [GO:0008270]; protein maturation [GO:0051604]	carboxyl- or carbamoyltransferase activity [GO:0016743]; double-stranded RNA binding [GO:0003725]; ligase activity [GO:0016874]; zinc ion binding [GO:0008270]	GO:0003725; GO:0008270; GO:0016743; GO:0016874; GO:0051604	reh:PHG096
O30338	21.48360818777129	21.56819146107563	21.64073546101702	21.467156320664408	21.4883338326595	21.48320548096545	3	3	3	3	3	3	No	No	No	No	No	No	UREE_CUPNH	Urease accessory protein UreE	ureE H16_A1085	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	192	protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]	nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]	GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003	reh:H16_A1085
O87816	27.21157756555706	27.10877435543169	27.22077382097324	27.499516286715533	27.53341309875351	27.568670887350834	12	9	12	12	14	12	No	No	No	No	No	No	FDHD_CUPNH	Sulfur carrier protein FdhD	fdhD fdsC H16_A0643	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	288	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; sulfur carrier activity [GO:0097163]; sulfurtransferase activity [GO:0016783]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	sulfur carrier activity [GO:0097163]; sulfurtransferase activity [GO:0016783]	GO:0005737; GO:0006777; GO:0016783; GO:0097163	reh:H16_A0643
P14611	32.61898949505604	32.41299106055353	32.29965193717831	32.993429579800534	32.812983790044726	32.92186717565479	68	66	69	68	69	69	No	No	No	No	No	No	THIL_CUPNH	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Beta-ketothiolase)	phaA phbA H16_A1438	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	393	poly-hydroxybutyrate biosynthetic process [GO:0042619]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; poly-hydroxybutyrate biosynthetic process [GO:0042619]	acetyl-CoA C-acetyltransferase activity [GO:0003985]	GO:0003985; GO:0005737; GO:0042619	reh:H16_A1438
P14697	27.98209415132949	28.089317363659955	28.277009768775724	28.806528547553913	28.993054587462435	29.00208843571322	40	41	41	43	43	43	No	No	No	No	No	No	PHAB_CUPNH	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phaB phbB H16_A1439	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	246	poly-hydroxybutyrate biosynthetic process [GO:0042619]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; acetoacetyl-CoA reductase activity [GO:0018454]; poly-hydroxybutyrate biosynthetic process [GO:0042619]	acetoacetyl-CoA reductase activity [GO:0018454]	GO:0005737; GO:0018454; GO:0042619	reh:H16_A1439
P19911	28.54473592765602	28.658239161275173	28.737080424908047	21.951285104273985	22.06411772256381	22.33829025833445	21	20	21	2	2	1	No	No	No	No	No	No	F16A2_CUPNH	Fructose-1,6-bisphosphatase class 1 2 (FBPase class 1 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1 2)	fbp2 cbbF2 cbbFC cfxF H16_B1390	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	364	fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; sucrose biosynthetic process [GO:0005986]	cytosol [GO:0005829]	cytosol [GO:0005829]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; sucrose biosynthetic process [GO:0005986]	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0005829; GO:0005986; GO:0006000; GO:0006002; GO:0006094; GO:0030388; GO:0042132	reh:H16_B1390
P19923	30.79540058776652	30.736636357327267	30.94757829784812	23.237449807164214	23.587527718701427	23.651910526186423	28	27	29	2	5	3	No	No	No	No	No	No	KPPR2_CUPNH	Phosphoribulokinase, chromosomal (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	cfxP H16_B1389	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	292	reductive pentose-phosphate cycle [GO:0019253]		ATP binding [GO:0005524]; phosphoribulokinase activity [GO:0008974]; reductive pentose-phosphate cycle [GO:0019253]	ATP binding [GO:0005524]; phosphoribulokinase activity [GO:0008974]	GO:0005524; GO:0008974; GO:0019253	reh:H16_B1389
P21725	31.568871828120812	31.2753919415062	31.058807904409925	23.861800716850485	23.75277958031002	23.750439029993256	41	41	40	8	9	9	No	No	No	No	No	No	TKTC_CUPNH	Transketolase, chromosomal (TK) (EC 2.2.1.1)	cbbTC cbbT2 H16_B1388	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	670	pentose-phosphate shunt [GO:0006098]; reductive pentose-phosphate cycle [GO:0019253]	cytosol [GO:0005829]	cytosol [GO:0005829]; metal ion binding [GO:0046872]; transketolase activity [GO:0004802]; pentose-phosphate shunt [GO:0006098]; reductive pentose-phosphate cycle [GO:0019253]	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]	GO:0004802; GO:0005829; GO:0006098; GO:0019253; GO:0046872	reh:H16_B1388
P21726	29.800956681495233	29.342354726777177	29.15756921514035	24.311436490237877	24.36367387870538	23.61525724232743	15	15	15	2	2	2	No	No	No	No	No	No	TKTP_CUPNH	Transketolase, plasmid (TK) (EC 2.2.1.1)	cbbTP PHG420	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	670	pentose-phosphate shunt [GO:0006098]; reductive pentose-phosphate cycle [GO:0019253]	cytosol [GO:0005829]	cytosol [GO:0005829]; metal ion binding [GO:0046872]; transketolase activity [GO:0004802]; pentose-phosphate shunt [GO:0006098]; reductive pentose-phosphate cycle [GO:0019253]	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]	GO:0004802; GO:0005829; GO:0006098; GO:0019253; GO:0046872	reh:PHG420
P22320	30.597672382684895	30.520822548822352	30.557905078489313	23.82542488255256	23.866013970545552	23.88581114383457	58	58	56	12	15	17	No	No	No	No	No	No	HOXH_CUPNH	NAD-reducing hydrogenase HoxS subunit beta (EC 1.12.1.2)	hoxH PHG091	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	488		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ferredoxin hydrogenase activity [GO:0008901]; hydrogen dehydrogenase activity [GO:0047985]; nickel cation binding [GO:0016151]	ferredoxin hydrogenase activity [GO:0008901]; hydrogen dehydrogenase activity [GO:0047985]; nickel cation binding [GO:0016151]	GO:0005737; GO:0008901; GO:0016151; GO:0047985	reh:PHG091
P23536	25.5277137643928	25.589517758472383	25.660782291759578	25.862898562729477	25.90377741825012	25.879461405078786	13	12	14	15	15	14	No	No	No	No	No	No	PT1_CUPNH	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	phbI ptsI H16_A0326	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	586	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]	GO:0005737; GO:0008965; GO:0009401; GO:0016301; GO:0046872	reh:H16_A0326
P23537	24.21207505237688	24.20270919059296	24.003016707881574	24.036572979000685	23.87456309633812	23.927376894142224	5	6	7	7	6	7	No	No	No	No	No	No	PTHP_CUPNH	Phosphocarrier protein HPr (Histidine-containing protein) (Protein H)	phbH ptsH H16_A0325	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	89	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		GO:0005737; GO:0009401	reh:H16_A0325
P27745	22.17120490169939	21.904474861536254	22.339335832743	23.438842702821187	23.46368056799159	23.310158345633067	1	2	2	5	5	5	No	No	No	No	No	No	ACOA_CUPNH	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha (Acetoin:DCPIP oxidoreductase-alpha) (Ao:DCPIP OR) (EC 1.1.1.-)	acoA H16_B0144	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	333	acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]		pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; acetoin catabolic process [GO:0045150]; acetyl-CoA biosynthetic process from pyruvate [GO:0006086]	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	GO:0004739; GO:0006086; GO:0045150	reh:H16_B0144
